"title","author","time"
"年輕人都信「工作不要太拚、生活品質更重要」這套！過來人一席話告訴你20年內絕對後悔","洪雪珍","2018-10-09 15:05"
"每餐都有上百道菜、洗一次澡用100條毛巾！一窺慈禧「後宮日常」，上大號的排場更誇張…","黃瑜敏","2018-10-11 15:00"
"歷史上的今天》10月14日──二戰德軍最剽悍戰將「沙漠之狐」隆美爾元帥被希特勒逼迫自殺","魏嘉瑀","2018-10-14 07:00"
"不曾留學、沒補過習，國小兄弟檔竟英文嚇嚇叫！媽媽公開這4招，讓孩子主動學習、愛上英文","未來Family","2018-10-10 07:00"
"秘境名單該更新啦！7個新北「夢幻秘境」曝光，皇帝殿、銀河洞瀑布…聽名字就知道有多厲害","焦家卉","2018-10-11 11:06"
"「這麼漂亮幹嘛來賣豬肉？」東門市場女神直播揭密一日豬肉攤，看見台灣傳統肉舖職人精神","潘渝霈","2018-10-11 16:43"
"陳致曉觀點：台南恐將淪兩大建商集團禁臠","陳致曉","2018-10-15 05:50"
"為何許多東區店面寧願空著一兩年，也絕不降租金？內行人踢爆房東背後打的「如意算盤」...","好房網","2018-10-11 09:30"
"【風云軍事】彭斯宣戰！中國南海夢碎？當解放軍攻台灣地點曝光..卻慘遇豬瘟大噴發？","風云軍事","2018-10-12 16:00"
"風評：許宗力把初心給了民進黨，把遺憾留給中華民國","主筆室","2018-10-10 07:20"
"未來市府10%營造工程給原住民 丁守中：他們身體更好更棒","周怡孜","2018-10-13 13:38"
"風評：賴清德是無知？剛愎？還是只為拚選舉？","主筆室","2018-10-13 07:20"
"夏珍專欄：從郭台強的「三聲無奈」，看台灣的「蔡式新法典」","夏珍","2018-10-12 06:20"
"風評：許宗力把初心給了民進黨，把遺憾留給中華民國","主筆室","2018-10-10 07:20"
"大愛》台東國慶日升旗　賣菜阿嬤陳樹菊捐1600萬助偏鄉醫療","中央社","2018-10-10 10:52"
"王伯輝觀點：封存核四VS.停建深澳 政治一再凌駕專業，台灣怎麼有希望？","王伯輝","2018-10-14 06:50"
"「謝長廷一度想廢建衛武營！」楊秋興：民進黨攬功，簡直是「黑白來」","朱冠諭","2018-10-13 09:40"
"國民黨智庫民調》盧秀燕勝林佳龍6.5%　不滿綠執政48.7％","周怡孜","2018-10-12 11:27"
"政府公賣、產地直送、自家種植……想怎麼買就怎麼買！加拿大「娛樂用大麻」17日合法上路","魏嘉瑀","2018-10-11 11:10"
"觀塘案過關》鄭文燦稱「從沒答應大潭列藻礁保護區」　他PO影片質疑市長「背信忘義」","黃苑瑜","2018-10-09 16:11"
"基因工程+貪婪本性＝超級人類？霍金生前警告：未經改造的人類可能逐漸滅絕","中央社","2018-10-16 11:12"
"基因工程+貪婪本性＝超級人類？霍金生前警告：未經改造的人類可能逐漸滅絕","中央社","2018-10-16 11:12"
"Chrome竟然能變這麼好用！8款「超實用擴充」讓你工作效率大提升，不知道實在太可惜！","黃庭侑","2018-10-16 08:30"
"觀點投書：無人空拍機可支援搜索和救援行動","周金柱","2018-10-13 05:20"
"iPhone XS又惹毛用戶了？大批網友Po照吐槽：自拍美肌太超過、看起來超蠢","愛范兒 ifanr","2018-10-12 15:57"
"培育無數半導體人才！抗癌近2年　交大前校長張俊彥病逝","焦家卉","2018-10-12 11:29"
"打報告、寫論文老是分心？這款「現代版打字機」讓你不專心也難！","智慧機器人網","2018-10-07 08:30"
"用一支影片「科學辦案」！看BBC如何抽絲剝繭，揪出殘殺婦孺的喀麥隆軍人！","智慧機器人網","2018-10-04 16:56"
"Facebook瘋狂登出！你是「被駭客選中」的人嗎？你該知道這7件事，原來改密碼根本沒用…","數位時代","2018-10-01 11:44"
"看了超懷念！這10項「經典老科技」當年超潮、現在幾乎消失⋯會用的都有點年紀啦！","蔣濬浩","2018-09-30 08:30"
"歡慶20週年！Google超完美重現「當年起家的車庫」，一開網頁就能參觀科技巨人的誕生！","智慧機器人網","2018-09-29 08:30"
"以後不用再追垃圾車？24小時「智慧垃圾桶」街頭現身！做回收還能立刻賺現金，實在太便民","蔣濬浩","2018-09-28 16:52"
"數位遺產》死後我的臉書、IG怎麼辦？揭4大社群網站「逝者帳號」處理法","智慧機器人網","2018-09-25 14:47"
"拯救尿急人！日網友發明「廁所惡霸退散神器」，用爆笑絕招逼出霸佔茅坑慢郎中！","智慧機器人網","2018-09-25 11:35"
"懂創新的華碩總能站上浪頭，只是潮退後呢？","數位時代","2018-09-19 10:14"
"哈拉瑞《21世紀的21堂課》：人工智慧將撼動全球，「2大威脅」近逼全人類…","*CUP","2018-09-18 15:08"
"舊機回收竟等同「微型炸彈」？不可拆鋰電池，成回收業者的噩夢…","*CUP","2018-09-17 12:53"
"穿上它就能輕鬆搬重物！日工廠購入「撐腰神器」，大大減輕勞工的負擔、再也不怕傷到腰！","智慧機器人網","2018-09-16 08:00"
"Windows 10老是自動更新超崩潰？教你簡單3步關掉它！","黃庭侑","2018-09-13 15:25"
"5G輻射會致癌？美國灣區小鎮緊急通過法案，反對部署基地台","數位時代","2018-09-12 14:15"
"風數據》地表最強的四大科技龍頭有多大？1家蘋果的市值就占台灣股市9成","周岐原","2018-09-11 17:00"
